date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto
1971-04-15,845.8818557136317,heliocentric,238.6357278950291,54.766736373882814,191.7023204196179,241.47552086912847,178.53459301231263
1971-04-22,845.8763713483595,heliocentric,239.18064512915316,55.02317378098014,191.79248638774342,241.517080706975,178.57889503279526
1971-04-29,845.8708654118511,heliocentric,239.72593899091316,55.27969444511781,191.88265895097436,241.55865279551483,178.62322008958924
1971-05-06,845.8653378519908,heliocentric,240.271531805655,55.53621667528141,191.97275672046936,241.60015574202288,178.66748681602746
1971-05-13,845.8597886162231,heliocentric,240.81755272565303,55.79286558033988,192.06290513693767,241.64171497870325,178.7118206705917
1971-05-20,845.8542176527598,heliocentric,241.3639737395852,56.049609086137096,192.15307248292095,241.683298776373,178.75618994999311
1971-05-27,846.2204077595509,heliocentric,241.9108751281293,56.30652339701202,192.2433353415987,241.72498370345903,178.8006712483539
1971-06-03,847.2259920107515,heliocentric,242.45800897495087,56.563356506719344,192.3334421095873,241.76651813750084,178.84501296957512
1971-06-10,848.2323276992378,heliocentric,243.00566330835028,56.8203923176457,192.42367713071255,241.80818639606332,178.8894994587314
1971-06-17,849.2394222850098,heliocentric,243.55362607881833,57.07741454464906,192.51382463511172,241.84977267649592,178.93391493631339
1971-06-24,850.247283430424,heliocentric,244.10214813144242,57.33466962403859,192.6041316561078,241.891523992198,178.9785064162304
1971-07-01,851.2559188537,heliocentric,244.6508364299322,57.59176010270315,192.6942013092219,241.93304347660649,179.0228770030822
1971-07-08,852.2653360537147,heliocentric,245.2001189754846,57.84910976754236,192.78445783906656,241.9747554129793,179.06745094862728
1971-07-15,853.2755423320573,heliocentric,245.74963214052974,58.10635091940324,192.87453395349166,242.0162925420676,179.1118609745011
1971-07-22,854.2865449130186,heliocentric,246.2997600262653,58.36386362490473,192.96481012873977,242.05803536566629,179.15648756975597
1971-07-29,855.2983509838667,heliocentric,246.85000505547688,58.62114628354521,193.0547851822427,242.0994827252264,179.20082956354352
1971-08-05,856.3109676896037,heliocentric,247.40090389054234,58.87873155515263,193.14499219169505,242.1411677241678,179.2454200457405
1971-08-12,857.3244021167352,heliocentric,247.95198907975904,59.136148021094435,193.2349601482942,242.18261938181385,179.28978802139144
1971-08-19,858.3386612759874,heliocentric,248.50372664016015,59.393857780207966,193.32515154758974,242.22430022332532,179.33439600216641
1971-08-26,859.3537520870117,heliocentric,249.05556639323308,59.65130679334477,193.4150127329841,242.26565662083965,179.37869034972726
1971-09-02,860.3696813735576,heliocentric,249.60810939946916,59.90909231441222,193.50514133425511,242.30728622782752,179.42326871269034
1971-09-09,861.3864559009925,heliocentric,250.16083708892867,60.16669197972288,193.59501538373237,242.34866709044718,179.46760913843244
1971-09-16,862.4040825000541,heliocentric,250.71424260035005,60.42459504856594,193.68512459889277,242.39028893466835,179.512201350323
1971-09-23,863.4225681313987,heliocentric,251.26777617396633,60.682247786100454,193.77491573559254,242.43159854489963,179.55649210826698
1971-09-30,864.4419196362311,heliocentric,251.82204907360742,60.94025761531858,193.8649966163598,242.4732038009132,179.60108925549187
1971-10-07,865.4621435516851,heliocentric,252.37654107365174,61.19810070844043,193.95484371195943,242.51458122937328,179.6454692978092
1971-10-14,866.4832462127715,heliocentric,252.9317227626544,61.456244172841814,194.04492440733955,242.55619825340605,179.69009965626861
1971-10-21,867.5052338578329,heliocentric,253.4870898310296,61.71418025330909,194.13473124148504,242.59754743583602,179.73447290211317
1971-10-28,868.5281126624697,heliocentric,254.0432058863586,61.97246912626626,194.2248247057513,242.63918928250644,179.77914955512378
1971-11-04,869.5518887444634,heliocentric,254.599592671494,62.230629117280046,194.3147234588714,242.68064245978942,179.82364829926226
1971-11-11,870.5765681615936,heliocentric,255.15665535614136,62.48906199521356,194.40482961929206,242.7223090877999,179.86837127534457
1971-11-18,871.6021569075656,heliocentric,255.7139727470475,62.747343184570504,194.49471897744147,242.76376495246757,179.91289429326469
1971-11-25,872.2277363933729,heliocentric,256.27201002639566,63.00593450250426,194.58485373634485,242.80547224466824,179.95767957187323
1971-12-02,872.8212768643173,heliocentric,256.83037157806234,63.26443696655689,194.67483533383583,242.84703237934832,180.00232855869515
1971-12-09,873.4156286659434,heliocentric,257.3893570892163,63.52314682614334,194.76496051065686,242.8887420625476,180.04713799264886
1971-12-16,874.0107989927988,heliocentric,257.948664639119,63.781758547427266,194.8549243227108,242.9302963191241,180.09180291441646
1971-12-23,874.6067952754659,heliocentric,258.5086263858514,64.04060058640167,194.94505582894953,242.97202420838354,180.1366523701004
1971-12-30,875.203624650336,heliocentric,259.0689679331253,64.29939499786582,195.0350775960267,243.01364831941004,180.18140892950154
1972-01-06,875.8012939146847,heliocentric,259.6298466482049,64.55829575745813,195.12514406146425,243.05532310637273,180.2262270397771
1972-01-13,876.3998097631531,heliocentric,260.19111694532324,64.81715393206323,195.2151067660008,243.0969001167507,180.27095824843414
1972-01-20,876.9991788966123,heliocentric,260.7529612485352,65.0761485956707,195.30514528279292,243.1385589269113,180.31578213146963
